Station,Lat,Lon,Divisions,Year,Count,Type
Kilkee,52.6824,-9.6447,Clare,2005,31,Theft
Kilkelly,53.8734,-8.8434,Mayo,2005,4,Theft
Kilkenny,52.6524,-7.2597,Kilkenny/Carlow,2005,666,Theft
Kill Co Waterford,52.1773,-7.3351,Waterford,2005,13,Theft
Killala,54.2141,-9.2205,Mayo,2005,6,Theft
Killaloe,52.8067,-8.4437,Clare,2005,82,Theft
Killarney,52.0624,-9.5124,Kerry,2005,245,Theft
Killeagh,51.9398,-7.995,Cork North,2005,25,Theft
Killenaule,52.5685,-7.6728,Tipperary,2005,33,Theft
Killeshandra,54.0118,-7.5259,Cavan/Monaghan,2005,6,Theft
Killimor,53.1659,-8.2942,Galway,2005,13,Theft
Killorglin,52.1065,-9.7871,Kerry,2005,31,Theft
Killucan,53.5147,-7.1397,Westmeath,2005,36,Theft
Kilmacow,52.3146,-7.1748,Kilkenny/Carlow,2005,6,Theft
Kilmacrennan,55.0295,-7.7785,Donegal,2005,20,Theft
Kilmacthomas,52.2062,-7.4213,Waterford,2005,17,Theft
Kilmaine,53.5826,-9.1238,Mayo,2005,1,Theft
Kilmainham,53.3419,-6.3043,D.M.R. South Central,2005,761,Theft
Kilmallock,52.3984,-8.5758,Limerick,2005,33,Theft
Kilmeaden,52.2462,-7.245,Waterford,2005,18,Theft
Kilmoganny,52.4609,-7.3293,Kilkenny/Carlow,2005,3,Theft
Kilmore Quay,52.1787,-6.5837,Wexford,2005,22,Theft
Kilnaleck,53.8585,-7.3179,Cavan/Monaghan,2005,17,Theft
Kilrickle,53.2302,-8.4524,Galway,2005,12,Theft
Kilrush,52.6411,-9.4811,Clare,2005,37,Theft
Kilsheelan,52.3615,-7.5798,Tipperary,2005,8,Theft
Kiltimagh,53.8461,-9.0058,Mayo,2005,31,Theft
Kiltormer,53.2376,-8.2713,Galway,2005,2,Theft
Kilworth,52.1763,-8.2496,Cork North,2005,8,Theft
Kingscourt,53.9043,-6.8068,Cavan/Monaghan,2005,39,Theft
Kinlough,54.4458,-8.287,Sligo/Leitrim,2005,20,Theft
Kinnegad,53.4559,-7.1028,Westmeath,2005,92,Theft
Kinnitty,53.0984,-7.7221,Laois/Offaly,2005,7,Theft
Kinsale,51.7063,-8.5255,Cork West,2005,89,Theft
Kinvara,53.1405,-8.9397,Galway,2005,4,Theft
Knock,53.7954,-8.9188,Mayo,2005,15,Theft
Knocknagoshel,52.3307,-9.3853,Kerry,2005,9,Theft
Lanesboro,53.67100000000001,-7.9853,Roscommon/Longford,2005,12,Theft
Laytown,53.6892,-6.244,Meath,2005,156,Theft
Leach Seoirse,53.3571,-8.9313,Galway,2005,25,Theft
Leamybrien,52.1693,-7.5216,Waterford,2005,20,Theft
Leitir Mor,53.2943,-9.6551,Galway,2005,2,Theft
Leixlip,53.3674,-6.4982,Kildare,2005,161,Theft
Letterfrack,53.5542,-9.9477,Galway,2005,10,Theft
Letterkenny,54.9547,-7.7364,Donegal,2005,422,Theft
Lifford,54.8328,-7.4803,Donegal,2005,24,Theft
Liscarroll,52.2596,-8.8063,Cork North,2005,11,Theft
Lisdoonvarna,53.0286,-9.2897,Clare,2005,26,Theft
Lismore,52.1367,-7.9355,Waterford,2005,18,Theft
Lissycasey,52.7461,-9.1544,Clare,2005,4,Theft
Listowel,52.4471,-9.4839,Kerry,2005,67,Theft
Littleton,52.6407,-7.7349,Tipperary,2005,18,Theft
Lixnaw,52.4041,-9.6166,Kerry,2005,7,Theft
Longford,53.7325,-7.8014,Roscommon/Longford,2005,262,Theft
Longwood,53.4546,-6.9270000000000005,Meath,2005,15,Theft
Lorrha,53.0937,-8.1221,Tipperary,2005,10,Theft
Loughrea,53.1974,-8.5699,Galway,2005,106,Theft
Louisburgh,53.7646,-9.8076,Mayo,2005,7,Theft
Louth,53.9524,-6.5379,Louth,2005,8,Theft
Lucan,53.3561,-6.4507,D.M.R. Western,2005,676,Theft
Lusk,53.5234,-6.1673,D.M.R. Northern,2005,139,Theft
Macroom,51.9063,-8.964,Cork West,2005,97,Theft
Maigh Cuilinn,53.3383,-9.1812,Galway,2005,12,Theft
Malahide,53.4512,-6.1519,D.M.R. Northern,2005,440,Theft
Mallow,52.1388,-8.6459,Cork North,2005,132,Theft
Manorhamilton,54.3044,-8.1785,Sligo/Leitrim,2005,39,Theft
Mayfield,51.9097,-8.429,Cork City,2005,176,Theft
Maynooth,53.3808,-6.5927,Kildare,2005,258,Theft
Mayorstone Park,52.6737,-8.6448,Limerick,2005,692,Theft
Midleton,51.9167,-8.1735,Cork North,2005,160,Theft
Milford Co Cork,52.3425,-8.8564,Cork North,2005,4,Theft
Milford,55.086999999999996,-7.6982,Donegal,2005,15,Theft
Millstreet Co. Cork,52.0601,-9.0615,Cork West,2005,21,Theft
Milltown,53.6116,-8.8975,Galway,2005,3,Theft
Miltown Malbay,52.8575,-9.4006,Clare,2005,46,Theft
Mitchelstown,52.2636,-8.2706,Cork North,2005,55,Theft
Moate,53.3957,-7.7345,Westmeath,2005,64,Theft
Mohill,53.9208,-7.8681,Sligo/Leitrim,2005,33,Theft
Monaghan,54.2514,-6.9675,Cavan/Monaghan,2005,203,Theft
Monasterevin,53.1382,-7.0547,Kildare,2005,46,Theft
Moneygall,52.8813,-7.9534,Tipperary,2005,4,Theft
Monivea,53.373999999999995,-8.7023,Galway,2005,4,Theft
Mooncoin,52.292,-7.2516,Kilkenny/Carlow,2005,3,Theft
Mountbellew,53.4712,-8.5001,Galway,2005,16,Theft
Mountcharles,54.6459,-8.1957,Donegal,2005,6,Theft
Mountjoy,53.3605,-6.2668,D.M.R. North Central,2005,819,Theft
Mountmellick,53.1188,-7.3351,Laois/Offaly,2005,40,Theft
Mountrath,52.9982,-7.4781,Laois/Offaly,2005,25,Theft
Moville,55.1916,-7.0286,Donegal,2005,27,Theft
Moylough,53.4877,-8.567,Galway,2005,8,Theft
Moyne,52.7343,-7.7141,Tipperary,2005,10,Theft
Muff,55.0686,-7.2688,Donegal,2005,31,Theft
Muine Bheag,52.7013,-6.9574,Kilkenny/Carlow,2005,30,Theft
Mullagh,53.8111,-6.9432,Cavan/Monaghan,2005,23,Theft
Mullinahone,52.5102,-7.5056,Tipperary,2005,8,Theft
Mullinavat,52.3664,-7.1721,Kilkenny/Carlow,2005,9,Theft
Mullingar,53.5257,-7.346,Westmeath,2005,435,Theft
Multyfarnham,53.6242,-7.3923,Westmeath,2005,21,Theft
Murroe,52.6497,-8.3992,Limerick,2005,16,Theft
Myshall,52.6875,-6.7784,Kilkenny/Carlow,2005,4,Theft
Na Cealla Beaga,54.6366,-8.4444,Donegal,2005,13,Theft
Na Gleannta,54.7955,-8.281,Donegal,2005,15,Theft
Naas,53.2107,-6.666,Kildare,2005,683,Theft
Navan,53.6545,-6.6904,Meath,2005,442,Theft
Nenagh,52.8643,-8.1996,Tipperary,2005,118,Theft
New Ross,52.3876,-6.9508,Wexford,2005,124,Theft
Newbridge,53.1814,-6.7955,Kildare,2005,297,Theft
Newcastle West,52.4537,-9.0624,Limerick,2005,105,Theft
Newmarket,52.2146,-8.997,Cork West,2005,24,Theft
Newmarket on Fergus,52.7632,-8.8991,Clare,2005,15,Theft
Newport Co Mayo,53.8902,-9.5467,Mayo,2005,11,Theft
Newport Co Tipperary,52.7107,-8.4063,Tipperary,2005,28,Theft
Newtowncunningham,54.9976,-7.5078,Donegal,2005,26,Theft
Newtownmountkennedy,53.0969,-6.1094,Wicklow,2005,46,Theft
Nobber,53.821000000000005,-6.7466,Meath,2005,15,Theft
Oldcastle,53.7693,-7.1619,Meath,2005,36,Theft
Omeath,54.0865,-6.2563,Louth,2005,59,Theft
Oola,52.53,-8.2597,Limerick,2005,7,Theft
Oughterard,53.4274,-9.3245,Galway,2005,10,Theft
Oulart,52.5033,-6.3913,Wexford,2005,12,Theft
Oylegate,52.4241,-6.5296,Wexford,2005,7,Theft
Pallasgreen,52.5687,-8.3382,Limerick,2005,18,Theft
Pallaskenry,52.6405,-8.8665,Limerick,2005,12,Theft
Partry,53.6987,-9.2796,Mayo,2005,11,Theft
Passage East,52.2392,-6.9728,Waterford,2005,10,Theft
Passage West,51.8652,-8.3317,Cork City,2005,20,Theft
Patrickswell,52.5958,-8.7129,Limerick,2005,36,Theft
Pearse Street,53.3457,-6.2563,D.M.R. South Central,2005,4191,Theft
Pettigo,54.5482,-7.8349,Donegal,2005,0,Theft
Piltown,52.3498,-7.3255,Kilkenny/Carlow,2005,5,Theft
Portarlington,53.1592,-7.1878,Laois/Offaly,2005,91,Theft
Portlaoise,53.0317,-7.3031,Laois/Offaly,2005,351,Theft
Portlaw,52.2863,-7.3176,Waterford,2005,9,Theft
Portmagee,51.8852,-10.3618,Kerry,2005,7,Theft
Portroe,52.8819,-8.3537,Tipperary,2005,7,Theft
Portumna,53.09,-8.2204,Galway,2005,18,Theft
Raheny,53.379,-6.178,D.M.R. Northern,2005,280,Theft
Ramelton,55.0367,-7.6507,Donegal,2005,6,Theft
Raphoe,54.8744,-7.5944,Donegal,2005,43,Theft
Rathangan,53.2221,-6.9975,Kildare,2005,25,Theft
Rathcoole,53.2818,-6.4647,D.M.R. Western,2005,301,Theft
Rathcormac Co Cork,52.0761,-8.2843,Cork North,2005,27,Theft
Rathdowney,52.8567,-7.5978,Laois/Offaly,2005,26,Theft
Rathdrum,52.931000000000004,-6.2265,Wicklow,2005,73,Theft
Rathfarnham,53.2974,-6.2881,D.M.R. Southern,2005,1009,Theft
Rathgormack,52.3075,-7.5038,Waterford,2005,6,Theft
Rathkeale,52.5234,-8.939,Limerick,2005,17,Theft
Rathmines,53.3213,-6.267,D.M.R. Southern,2005,698,Theft
Rathmore Co Kerry,52.0843,-9.2142,Kerry,2005,16,Theft
Rathmullen,55.0958,-7.5326,Donegal,2005,5,Theft
Rathvilly,52.8804,-6.6954,Kilkenny/Carlow,2005,7,Theft
Rhode,53.3511,-7.1948,Laois/Offaly,2005,27,Theft
Riverstown,54.1296,-8.4,Sligo/Leitrim,2005,12,Theft
Robertstown,53.2702,-6.8164,Kildare,2005,30,Theft
Rochfortbridge,53.4133,-7.3018,Westmeath,2005,41,Theft
Rockcorry,54.1202,-7.0094,Cavan/Monaghan,2005,3,Theft
Ronanstown,53.3379,-6.406000000000001,D.M.R. Western,2005,924,Theft
Roosky,53.8329,-7.9228,Roscommon/Longford,2005,14,Theft
Ros Muc,53.3864,-9.6099,Galway,2005,2,Theft
Roscommon,53.6298,-8.1936,Roscommon/Longford,2005,143,Theft
Roscrea,52.9562,-7.7988,Tipperary,2005,72,Theft
Rosscarbery,51.5776,-9.0315,Cork West,2005,12,Theft
Rosses Point,54.3054,-8.5465,Sligo/Leitrim,2005,13,Theft
Rosslare Harbour,52.2487,-6.3341,Wexford,2005,54,Theft
Rosslare Strand,52.2696,-6.3848,Wexford,2005,15,Theft
Roundwood,53.063,-6.2247,Wicklow,2005,64,Theft
Roxboro Road,52.6508,-8.615,Limerick,2005,1095,Theft
Santry,53.3897,-6.2516,D.M.R. Northern,2005,787,Theft
Scariff,52.9068,-8.5348,Clare,2005,27,Theft
Schull,51.5287,-9.5414,Cork West,2005,12,Theft
Scotstown,54.2803,-7.0636,Cavan/Monaghan,2005,10,Theft
Shankill,53.2335,-6.121,D.M.R. Eastern,2005,421,Theft
Shannon,52.7079,-8.8772,Clare,2005,138,Theft
Shercock,53.9922,-6.9008,Cavan/Monaghan,2005,14,Theft
Shevry,52.6869,-8.0471,Tipperary,2005,2,Theft
Shillelagh,52.7546,-6.5375,Wicklow,2005,19,Theft
Shinrone,52.9847,-7.9341,Laois/Offaly,2005,8,Theft
Shrule,53.5199,-9.0876,Mayo,2005,4,Theft
Sixmilebridge,52.7401,-8.7779,Clare,2005,27,Theft
Skerries,53.5796,-6.107,D.M.R. Northern,2005,83,Theft
Skibbereen,51.5486,-9.2641,Cork West,2005,56,Theft
Skreen,54.2446,-8.7204,Sligo/Leitrim,2005,2,Theft
Slane,53.7097,-6.5475,Meath,2005,41,Theft
Sligo,54.2693,-8.4713,Sligo/Leitrim,2005,577,Theft
Smear,53.8606,-7.6017,Roscommon/Longford,2005,3,Theft
Sneem,51.8389,-9.904,Kerry,2005,4,Theft
Sraith Salach,53.4653,-9.7214,Galway,2005,1,Theft
Stoneyford,52.5364,-7.2286,Kilkenny/Carlow,2005,3,Theft
Store Street,53.3505,-6.2522,D.M.R. North Central,2005,4398,Theft
Stradbally Co Laois,53.0177,-7.1516,Laois/Offaly,2005,25,Theft
Strokestown,53.7808,-8.1038,Roscommon/Longford,2005,10,Theft
Stuake,51.9905,-8.7604,Cork West,2005,2,Theft
Summerhill,53.482,-6.7334,Meath,2005,36,Theft
Sundrive Road,53.3302,-6.2987,D.M.R. Southern,2005,657,Theft
Swanlinbar,54.1961,-7.7038,Cavan/Monaghan,2005,3,Theft
Swinford,53.9406,-8.9522,Mayo,2005,38,Theft
Swords,53.456,-6.2211,D.M.R. Northern,2005,730,Theft
Taghmon,52.321999999999996,-6.6517,Wexford,2005,10,Theft
Tallaght,53.2868,-6.3678,D.M.R. Southern,2005,2280,Theft
Tallow,52.0937,-8.0073,Waterford,2005,10,Theft
Tarbert,52.5727,-9.3754,Kerry,2005,8,Theft
Tarelton,51.8385,-8.9929,Cork West,2005,3,Theft
Taughmaconnell,53.4032,-8.141,Roscommon/Longford,2005,2,Theft
Templederry,52.7741,-8.075,Tipperary,2005,1,Theft
Templemore,52.7966,-7.8351,Tipperary,2005,52,Theft
Templetuohy,52.7903,-7.7201,Tipperary,2005,4,Theft
Terenure,53.3098,-6.287999999999999,D.M.R. Southern,2005,569,Theft
Thomastown,52.528999999999996,-7.14,Kilkenny/Carlow,2005,32,Theft
Thurles,52.6757,-7.8119,Tipperary,2005,161,Theft
Timoleague,51.6427,-8.7663,Cork West,2005,7,Theft
Tinahely,52.7967,-6.4693,Wicklow,2005,21,Theft
Tipperary,52.4761,-8.1629,Tipperary,2005,86,Theft
Togher,51.8764,-8.4863,Cork City,2005,253,Theft
Toomevara,52.8497,-8.0365,Tipperary,2005,5,Theft
Tralee,52.2695,-9.7088,Kerry,2005,535,Theft
Tramore,52.1615,-7.1534,Waterford,2005,137,Theft
Trim,53.5531,-6.7893,Meath,2005,176,Theft
Tuam,53.5157,-8.8559,Galway,2005,102,Theft
Tubbercurry,54.0516,-8.7343,Sligo/Leitrim,2005,19,Theft
Tulla,52.8654,-8.7548,Clare,2005,9,Theft
Tullamore,53.2761,-7.4949,Laois/Offaly,2005,373,Theft
Tullow,52.8038,-6.7334,Kilkenny/Carlow,2005,54,Theft
Tulsk,53.7774,-8.2518,Roscommon/Longford,2005,14,Theft
Urlingford,52.7221,-7.5798,Kilkenny/Carlow,2005,37,Theft
Virginia,53.8344,-7.0819,Cavan/Monaghan,2005,26,Theft
Watercourse Road,51.9071,-8.4745,Cork City,2005,706,Theft
Waterford,52.2602,-7.1137,Waterford,2005,1246,Theft
Watergrasshill,52.0134,-8.342,Cork North,2005,14,Theft
Westport,53.7991,-9.5194,Mayo,2005,64,Theft
Wexford,52.3355,-6.462000000000001,Wexford,2005,485,Theft
Whitegate,51.8271,-8.2278,Cork North,2005,21,Theft
Wicklow,52.9814,-6.0426,Wicklow,2005,228,Theft
Williamstown,53.6771,-8.5784,Galway,2005,3,Theft
Woodford,53.0476,-8.4001,Galway,2005,2,Theft
Youghal,51.9481,-7.8428,Cork North,2005,134,Theft
Abbeyfeale,52.3873,-9.29,Limerick,2006,48,Theft
Abbeyleix,52.9127,-7.3438,Laois/Offaly,2006,46,Theft
Adare,52.5639,-8.7921,Limerick,2006,22,Theft
Aglish,52.0716,-7.8221,Waterford,2006,7,Theft
Ahascragh,53.3957,-8.3306,Galway,2006,3,Theft
Ailt an Chorrain,54.9849,-8.4386,Donegal,2006,11,Theft
An Bun Beag,55.0656,-8.2895,Donegal,2006,37,Theft
An Charraig,54.6579,-8.6331,Donegal,2006,5,Theft
An Cheathru Rua,53.2645,-9.6005,Galway,2006,4,Theft
An Clochan Liath,54.9516,-8.3613,Donegal,2006,30,Theft
An Coirean,51.8311,-10.1742,Kerry,2006,7,Theft
An Craoslach,55.1253,-7.9126,Donegal,2006,10,Theft
An Fál Carrach,55.137,-8.102,Donegal,2006,23,Theft
An Maim,53.5107,-9.5649,Galway,2006,7,Theft
An Rinn,52.0484,-7.5931,Waterford,2006,12,Theft
An Spideal,53.2454,-9.3056,Galway,2006,19,Theft
Anglesea Street,51.8958,-8.465,Cork City,2006,1427,Theft
Annascaul,52.1524,-10.0525,Kerry,2006,6,Theft
Aran Mor,53.2721,-8.9319,Galway,2006,124,Theft
Ard An Rátha,54.7645,-8.4095,Donegal,2006,9,Theft
Ardee,53.8549,-6.5411,Louth,2006,96,Theft
Ardfert,52.3235,-9.7789,Kerry,2006,16,Theft
Ardfinnan,52.3118,-7.8783,Tipperary,2006,7,Theft
Ardmore,51.951,-7.7282,Waterford,2006,20,Theft
Ardnacrusha,52.7077,-8.6131,Limerick,2006,90,Theft
Ardrahan,53.1566,-8.8065,Galway,2006,14,Theft
Arklow,52.7963,-6.1546,Wicklow,2006,256,Theft
Arles,52.891000000000005,-7.0189,Laois/Offaly,2006,21,Theft
Arva,53.9254,-7.5838,Cavan/Monaghan,2006,11,Theft
Ashbourne,53.5114,-6.397,Meath,2006,292,Theft
Ashford,53.0139,-6.1073,Wicklow,2006,126,Theft
Askeaton,52.6006,-8.9712,Limerick,2006,24,Theft
Athea,52.4599,-9.2875,Limerick,2006,4,Theft
Athenry,53.2997,-8.7497,Galway,2006,45,Theft
Athleague,53.5687,-8.2524,Roscommon/Longford,2006,8,Theft
Athlone,53.4233,-7.9447,Westmeath,2006,614,Theft
Athy,52.9902,-6.9882,Kildare,2006,129,Theft
Aughrim,52.856,-6.3268,Wicklow,2006,22,Theft
Avoca,52.8588,-6.2129,Wicklow,2006,22,Theft
Baile Atha Bui,53.6236,-6.9159,Meath,2006,59,Theft
Baile an Fheirtéaraigh,52.1659,-10.4062,Kerry,2006,4,Theft
Baile Bhuirne,51.9458,-9.1692,Cork West,2006,10,Theft
Bailieboro,53.9152,-6.9696,Cavan/Monaghan,2006,60,Theft
Balbriggan,53.6143,-6.1912,D.M.R. Northern,2006,230,Theft
Balla,53.8019,-9.1299,Mayo,2006,13,Theft
Ballaghderreen,53.8999,-8.5846,Roscommon/Longford,2006,47,Theft
Ballina,54.1129,-9.1604,Mayo,2006,186,Theft
Ballinagh,53.9311,-7.4096,Cavan/Monaghan,2006,12,Theft
Ballinamore,54.0546,-7.797000000000001,Sligo/Leitrim,2006,20,Theft
Ballinasloe,53.3284,-8.2236,Galway,2006,153,Theft
Ballincollig,51.8882,-8.5903,Cork City,2006,196,Theft
Ballindine,53.6696,-8.9577,Mayo,2006,8,Theft
Ballineen,51.7359,-8.9489,Cork West,2006,3,Theft
Ballingarry,52.4721,-8.8628,Limerick,2006,7,Theft
Ballingarry North,53.0184,-8.0305,Tipperary,2006,2,Theft
Ballingarry South,52.586000000000006,-7.541,Tipperary,2006,9,Theft
Ballinhassig,51.8041,-8.5705,Cork West,2006,39,Theft
Ballinlough,53.7408,-8.6358,Roscommon/Longford,2006,18,Theft
Ballinrobe,53.6246,-9.2262,Mayo,2006,44,Theft
Ballintra,54.5778,-8.1254,Donegal,2006,12,Theft
Ballivor,53.5327,-6.9672,Meath,2006,30,Theft
Ballon,52.7432,-6.7722,Kilkenny/Carlow,2006,22,Theft
Ballybay,54.1289,-6.9048,Cavan/Monaghan,2006,30,Theft
Ballybofey,54.7996,-7.781000000000001,Donegal,2006,91,Theft
Ballybunion,52.5113,-9.6702,Kerry,2006,43,Theft
Ballyconnell,54.119,-7.5802,Cavan/Monaghan,2006,25,Theft
Ballycotton,51.8303,-8.0131,Cork North,2006,11,Theft
Ballycroy,54.0258,-9.8259,Mayo,2006,1,Theft
Ballycullane,52.2789,-6.8392,Wexford,2006,9,Theft
Ballydehob,51.5591,-9.4608,Cork West,2006,2,Theft
Ballydesmond,52.1782,-9.231,Cork West,2006,7,Theft
Ballyduff,52.4559,-9.6631,Kerry,2006,11,Theft
Ballyfermot,53.3448,-6.358,D.M.R. Western,2006,568,Theft
Ballygar,53.5219,-8.3284,Galway,2006,8,Theft
Ballyhale,52.4683,-7.2015,Kilkenny/Carlow,2006,17,Theft
Ballyhaunis,53.763999999999996,-8.7674,Mayo,2006,50,Theft
Ballyheigue,52.3892,-9.8275,Kerry,2006,9,Theft
Ballyjamesduff,53.8631,-7.2088,Cavan/Monaghan,2006,16,Theft
Ballylanders,52.3707,-8.3455,Limerick,2006,12,Theft
Ballylinan,52.943000000000005,-7.0432,Laois/Offaly,2006,30,Theft
Ballymacarberry,52.2672,-7.7177,Waterford,2006,10,Theft
Ballymahon,53.5613,-7.7608,Roscommon/Longford,2006,31,Theft
Ballymore,53.4911,-7.6817,Westmeath,2006,2,Theft
Ballymote,54.0874,-8.5152,Sligo/Leitrim,2006,14,Theft
Ballymun,53.3945,-6.2637,D.M.R. Northern,2006,527,Theft
Ballynacargy,53.5863,-7.5349,Westmeath,2006,27,Theft
Ballyneety,52.5973,-8.5489,Limerick,2006,54,Theft
Ballynoe,52.0602,-8.0993,Cork North,2006,10,Theft
Ballyporeen,52.2702,-8.0977,Tipperary,2006,2,Theft
Ballyshannon,54.4987,-8.2048,Donegal,2006,68,Theft
Ballyvaughan,53.1162,-9.1471,Clare,2006,7,Theft
Baltimore,51.4835,-9.3723,Cork West,2006,5,Theft
Baltinglass,52.93899999999999,-6.7098,Wicklow,2006,56,Theft
Banagher,53.1905,-7.9859,Laois/Offaly,2006,21,Theft
Bandon,51.7451,-8.7399,Cork West,2006,122,Theft
Bangor Erris,54.144,-9.7471,Mayo,2006,5,Theft
Bansha,52.4493,-8.0656,Tipperary,2006,9,Theft
Bantry,51.6803,-9.4552,Cork West,2006,71,Theft
Barnaderg,53.4805,-8.7225,Galway,2006,9,Theft
Barraduff,52.0598,-9.3409,Kerry,2006,5,Theft
Beal an Mhuirthead,54.2217,-9.9856,Mayo,2006,27,Theft
Beal Atha an Ghaorthaidh,51.8519,-9.229,Cork West,2006,9,Theft
Belturbet,54.1012,-7.4426,Cavan/Monaghan,2006,44,Theft
Bennettsbridge,52.5903,-7.1832,Kilkenny/Carlow,2006,18,Theft
Birr,53.096000000000004,-7.9115,Laois/Offaly,2006,130,Theft
Bishopstown,51.8807,-8.5146,Cork City,2006,321,Theft
Blacklion,54.2915,-7.8762,Cavan/Monaghan,2006,10,Theft
Blackrock Co Cork,51.8943,-8.4045,Cork North,2006,220,Theft
Blackrock Co Dublin,53.2998,-6.1775,D.M.R. Southern,2006,547,Theft
Blackrock Co Louth,53.9638,-6.3682,Louth,2006,81,Theft
Blackwater,52.4454,-6.3488,Wexford,2006,33,Theft
Blanchardstown,53.3899,-6.381,D.M.R. Western,2006,1980,Theft
Blarney,51.931999999999995,-8.5677,Cork City,2006,168,Theft
Blessington,53.1703,-6.5337,Wicklow,2006,123,Theft
Boherbue,52.159,-9.0698,Cork West,2006,10,Theft
Bonniconlon,54.1096,-9.029,Mayo,2006,26,Theft
Borris,52.6018,-6.9293,Kilkenny/Carlow,2006,10,Theft
Borris-In-Ossory,52.9393,-7.6288,Laois/Offaly,2006,25,Theft
Borrisokane,52.9971,-8.127,Tipperary,2006,22,Theft
Borrisoleigh,52.7515,-7.9554,Tipperary,2006,13,Theft
Bothar Na Tra,53.2588,-9.0797,Galway,2006,277,Theft
Boyle,53.9734,-8.3004,Roscommon/Longford,2006,48,Theft
Bray,53.1987,-6.1006,Wicklow,2006,617,Theft
Bridewell Cork,51.9005,-8.477,Cork City,2006,412,Theft
Bridewell Dublin,53.3471,-6.2741,D.M.R. North Central,2006,947,Theft
Bruff,52.4773,-8.547,Limerick,2006,37,Theft
Bruree,52.4232,-8.6503,Limerick,2006,18,Theft
Bunclody,52.6568,-6.6625,Wexford,2006,74,Theft
Buncrana,55.1313,-7.4507,Donegal,2006,70,Theft
Bundoran,54.4766,-8.2793,Donegal,2006,29,Theft
Burnfoot,55.0547,-7.4016,Donegal,2006,60,Theft
Buttevant,52.2293,-8.6713,Cork North,2006,24,Theft
Cabinteely,53.2608,-6.1507,D.M.R. Eastern,2006,374,Theft
Cabra,53.365,-6.3076,D.M.R. Western,2006,330,Theft
Caherciveen,51.946999999999996,-10.2198,Kerry,2006,17,Theft
Caherconlish,52.5938,-8.4695,Limerick,2006,32,Theft
Cahir,52.376000000000005,-7.9203,Tipperary,2006,77,Theft
Callan,52.5424,-7.391,Kilkenny/Carlow,2006,54,Theft
Campile,52.2878,-6.9396,Wexford,2006,4,Theft
Cappamore,52.6147,-8.3385,Limerick,2006,19,Theft
Cappawhite,52.5832,-8.1648,Tipperary,2006,23,Theft
Cappoquin,52.1459,-7.8457,Waterford,2006,13,Theft
Carbury,53.3385,-6.9367,Kildare,2006,26,Theft
Carlingford,54.0412,-6.1872,Louth,2006,60,Theft
Carlow,52.8405,-6.9293,Kilkenny/Carlow,2006,689,Theft
Carna,53.3236,-9.8241,Galway,2006,13,Theft
Carndonagh,55.2535,-7.2595,Donegal,2006,29,Theft
Carnew,52.7105,-6.4918,Wicklow,2006,28,Theft
Carraig Airt,55.1751,-7.7985,Donegal,2006,12,Theft
Carrickbyrne,52.3624,-6.7597,Wexford,2006,26,Theft
Carrickmacross,53.9761,-6.7188,Cavan/Monaghan,2006,95,Theft
Carrick-on-Bannow,52.2381,-6.734,Wexford,2006,18,Theft
Carrick-On-Shannon,53.9443,-8.0902,Sligo/Leitrim,2006,121,Theft
Carrick-On-Suir,52.3482,-7.4099,Tipperary,2006,97,Theft
Carrigaline,51.8148,-8.3915,Cork City,2006,87,Theft
Carrigallen,53.9756,-7.6467,Sligo/Leitrim,2006,11,Theft
Carrigans,54.9512,-7.4268,Donegal,2006,22,Theft
Carrigtwohill,51.9095,-8.2618,Cork North,2006,41,Theft
Cashel,52.5163,-7.8903,Tipperary,2006,50,Theft
Castlebar,53.8534,-9.2976,Mayo,2006,276,Theft
Castlebellingham,53.8993,-6.3899,Louth,2006,48,Theft
Castleblayney,54.1179,-6.735,Cavan/Monaghan,2006,100,Theft
Castlebridge,52.3847,-6.4526,Wexford,2006,26,Theft
Castlecomer,52.7993,-7.2095,Kilkenny/Carlow,2006,73,Theft
Castleconnell,52.7134,-8.4985,Limerick,2006,87,Theft
Castledermot,52.9092,-6.8492,Kildare,2006,38,Theft
Castlefin,54.8027,-7.5952,Donegal,2006,18,Theft
Castlegregory,52.2542,-10.0206,Kerry,2006,4,Theft
Castleisland,52.2304,-9.4628,Kerry,2006,39,Theft
Castlemaine,52.1702,-9.7006,Kerry,2006,5,Theft
Castlepollard,53.6785,-7.2966,Westmeath,2006,40,Theft
Castlerea,53.7666,-8.4841,Roscommon/Longford,2006,62,Theft
Castletownbere,51.6495,-9.9147,Cork West,2006,32,Theft
Castletownroche,52.1707,-8.468,Cork North,2006,26,Theft
Cavan,53.9933,-7.3609,Cavan/Monaghan,2006,249,Theft
Celbridge,53.343999999999994,-6.5417,Kildare,2006,231,Theft
Charlestown,53.9627,-8.7935,Mayo,2006,61,Theft
Charleville,52.3561,-8.6826,Cork North,2006,53,Theft
Cill Ronain,53.1213,-9.6678,Galway,2006,2,Theft
Clane,53.2937,-6.6859,Kildare,2006,177,Theft
Clara,53.3454,-7.6141,Laois/Offaly,2006,35,Theft
Claremorris,53.7236,-8.9851,Mayo,2006,72,Theft
Clifden,53.4882,-10.0092,Galway,2006,33,Theft
Cloch na Ron,53.3936,-9.9211,Galway,2006,2,Theft
Cloghan,53.2248,-7.8775,Laois/Offaly,2006,14,Theft
Clogheen,52.2769,-7.9953,Tipperary,2006,5,Theft
Clogher,54.8368,-8.4275,Donegal,2006,4,Theft
