Station,Lat,Lon,Divisions,Year,Count,Type
Bangor Erris,54.144,-9.7471,Mayo,2003,4,Theft
Bansha,52.4493,-8.0656,Tipperary,2003,8,Theft
Bantry,51.6803,-9.4552,Cork West,2003,69,Theft
Barnaderg,53.4805,-8.7225,Galway,2003,2,Theft
Barraduff,52.0598,-9.3409,Kerry,2003,2,Theft
Beal an Mhuirthead,54.2217,-9.9856,Mayo,2003,21,Theft
Beal Atha an Ghaorthaidh,51.8519,-9.229,Cork West,2003,8,Theft
Belturbet,54.1012,-7.4426,Cavan/Monaghan,2003,26,Theft
Bennettsbridge,52.5903,-7.1832,Kilkenny/Carlow,2003,7,Theft
Birr,53.096000000000004,-7.9115,Laois/Offaly,2003,109,Theft
Bishopstown,51.8807,-8.5146,Cork City,2003,267,Theft
Blacklion,54.2915,-7.8762,Cavan/Monaghan,2003,7,Theft
Blackrock Co Cork,51.8943,-8.4045,Cork North,2003,142,Theft
Blackrock Co Dublin,53.2998,-6.1775,D.M.R. Southern,2003,632,Theft
Blackrock Co Louth,53.9638,-6.3682,Louth,2003,52,Theft
Blackwater,52.4454,-6.3488,Wexford,2003,9,Theft
Blanchardstown,53.3899,-6.381,D.M.R. Western,2003,1657,Theft
Blarney,51.931999999999995,-8.5677,Cork City,2003,105,Theft
Blessington,53.1703,-6.5337,Wicklow,2003,94,Theft
Boherbue,52.159,-9.0698,Cork West,2003,13,Theft
Bonniconlon,54.1096,-9.029,Mayo,2003,4,Theft
Borris,52.6018,-6.9293,Kilkenny/Carlow,2003,13,Theft
Borris-In-Ossory,52.9393,-7.6288,Laois/Offaly,2003,13,Theft
Borrisokane,52.9971,-8.127,Tipperary,2003,14,Theft
Borrisoleigh,52.7515,-7.9554,Tipperary,2003,8,Theft
Bothar Na Tra,53.2588,-9.0797,Galway,2003,304,Theft
Boyle,53.9734,-8.3004,Roscommon/Longford,2003,36,Theft
Bray,53.1987,-6.1006,Wicklow,2003,528,Theft
Bridewell Cork,51.9005,-8.477,Cork City,2003,602,Theft
Bridewell Dublin,53.3471,-6.2741,D.M.R. North Central,2003,996,Theft
Bruff,52.4773,-8.547,Limerick,2003,16,Theft
Bruree,52.4232,-8.6503,Limerick,2003,6,Theft
Bunclody,52.6568,-6.6625,Wexford,2003,37,Theft
Buncrana,55.1313,-7.4507,Donegal,2003,57,Theft
Bundoran,54.4766,-8.2793,Donegal,2003,33,Theft
Burnfoot,55.0547,-7.4016,Donegal,2003,43,Theft
Buttevant,52.2293,-8.6713,Cork North,2003,11,Theft
Cabinteely,53.2608,-6.1507,D.M.R. Eastern,2003,407,Theft
Cabra,53.365,-6.3076,D.M.R. Western,2003,459,Theft
Caherciveen,51.946999999999996,-10.2198,Kerry,2003,15,Theft
Caherconlish,52.5938,-8.4695,Limerick,2003,17,Theft
Cahir,52.376000000000005,-7.9203,Tipperary,2003,70,Theft
Callan,52.5424,-7.391,Kilkenny/Carlow,2003,15,Theft
Campile,52.2878,-6.9396,Wexford,2003,15,Theft
Cappamore,52.6147,-8.3385,Limerick,2003,18,Theft
Cappawhite,52.5832,-8.1648,Tipperary,2003,25,Theft
Cappoquin,52.1459,-7.8457,Waterford,2003,18,Theft
Carbury,53.3385,-6.9367,Kildare,2003,23,Theft
Carlingford,54.0412,-6.1872,Louth,2003,51,Theft
Carlow,52.8405,-6.9293,Kilkenny/Carlow,2003,453,Theft
Carna,53.3236,-9.8241,Galway,2003,6,Theft
Carndonagh,55.2535,-7.2595,Donegal,2003,22,Theft
Carnew,52.7105,-6.4918,Wicklow,2003,27,Theft
Carraig Airt,55.1751,-7.7985,Donegal,2003,8,Theft
Carrickbyrne,52.3624,-6.7597,Wexford,2003,11,Theft
Carrickmacross,53.9761,-6.7188,Cavan/Monaghan,2003,110,Theft
Carrick-on-Bannow,52.2381,-6.734,Wexford,2003,19,Theft
Carrick-On-Shannon,53.9443,-8.0902,Sligo/Leitrim,2003,63,Theft
Carrick-On-Suir,52.3482,-7.4099,Tipperary,2003,49,Theft
Carrigaline,51.8148,-8.3915,Cork City,2003,63,Theft
Carrigallen,53.9756,-7.6467,Sligo/Leitrim,2003,1,Theft
Carrigans,54.9512,-7.4268,Donegal,2003,30,Theft
Carrigtwohill,51.9095,-8.2618,Cork North,2003,29,Theft
Cashel,52.5163,-7.8903,Tipperary,2003,38,Theft
Castlebar,53.8534,-9.2976,Mayo,2003,387,Theft
Castlebellingham,53.8993,-6.3899,Louth,2003,41,Theft
Castleblayney,54.1179,-6.735,Cavan/Monaghan,2003,101,Theft
Castlebridge,52.3847,-6.4526,Wexford,2003,11,Theft
Castlecomer,52.7993,-7.2095,Kilkenny/Carlow,2003,24,Theft
Castleconnell,52.7134,-8.4985,Limerick,2003,96,Theft
Castledermot,52.9092,-6.8492,Kildare,2003,37,Theft
Castlefin,54.8027,-7.5952,Donegal,2003,31,Theft
Castlegregory,52.2542,-10.0206,Kerry,2003,10,Theft
Castleisland,52.2304,-9.4628,Kerry,2003,60,Theft
Castlemaine,52.1702,-9.7006,Kerry,2003,10,Theft
Castlepollard,53.6785,-7.2966,Westmeath,2003,22,Theft
Castlerea,53.7666,-8.4841,Roscommon/Longford,2003,43,Theft
Castletownbere,51.6495,-9.9147,Cork West,2003,19,Theft
Castletownroche,52.1707,-8.468,Cork North,2003,12,Theft
Cavan,53.9933,-7.3609,Cavan/Monaghan,2003,222,Theft
Celbridge,53.343999999999994,-6.5417,Kildare,2003,223,Theft
Charlestown,53.9627,-8.7935,Mayo,2003,28,Theft
Charleville,52.3561,-8.6826,Cork North,2003,56,Theft
Cill Ronain,53.1213,-9.6678,Galway,2003,5,Theft
Clane,53.2937,-6.6859,Kildare,2003,85,Theft
Clara,53.3454,-7.6141,Laois/Offaly,2003,57,Theft
Claremorris,53.7236,-8.9851,Mayo,2003,91,Theft
Clifden,53.4882,-10.0092,Galway,2003,50,Theft
Cloch na Ron,53.3936,-9.9211,Galway,2003,3,Theft
Cloghan,53.2248,-7.8775,Laois/Offaly,2003,12,Theft
Clogheen,52.2769,-7.9953,Tipperary,2003,15,Theft
Clogher,54.8368,-8.4275,Donegal,2003,3,Theft
Clogherhead,53.7904,-6.2427,Louth,2003,33,Theft
Clonakilty,51.6249,-8.8889,Cork West,2003,76,Theft
Clonark,53.3684,-8.0347,Roscommon/Longford,2003,13,Theft
Clonaslee,53.1486,-7.526,Laois/Offaly,2003,5,Theft
Clonbologue,53.2591,-7.0858,Laois/Offaly,2003,8,Theft
Clondalkin,53.3231,-6.395,D.M.R. Western,2003,846,Theft
Clones,54.1775,-7.2282,Cavan/Monaghan,2003,58,Theft
Clonmany,55.263000000000005,-7.4128,Donegal,2003,7,Theft
Clonmel,52.3541,-7.6999,Tipperary,2003,211,Theft
Clonroche,52.4504,-6.7159,Wexford,2003,31,Theft
Clontarf,53.3635,-6.2201,D.M.R. Northern,2003,766,Theft
Cloughjordan,52.942,-8.0397,Tipperary,2003,8,Theft
Cloyne,51.8628,-8.1235,Cork North,2003,6,Theft
Coachford,51.9091,-8.7911,Cork West,2003,10,Theft
Cobh,51.8482,-8.3036,Cork North,2003,110,Theft
Collon,53.7779,-6.4849,Louth,2003,9,Theft
Collooney,54.1855,-8.4879,Sligo/Leitrim,2003,35,Theft
Cong,53.5415,-9.2865,Mayo,2003,27,Theft
Convoy,54.8593,-7.669,Donegal,2003,21,Theft
Coolaney,54.1724,-8.6034,Sligo/Leitrim,2003,8,Theft
Coolock,53.3903,-6.2011,D.M.R. Northern,2003,983,Theft
Cootehill,54.0747,-7.0787,Cavan/Monaghan,2003,53,Theft
Corofin,52.9475,-9.0686,Clare,2003,15,Theft
Corofin,53.4376,-8.8631,Galway,2003,4,Theft
Courtown Harbour,52.6443,-6.2305,Wexford,2003,34,Theft
Craughwell,53.2294,-8.7339,Galway,2003,27,Theft
Creggs,53.5949,-8.3638,Galway,2003,3,Theft
Crookstown,51.8587,-8.8013,Cork West,2003,15,Theft
Croom,52.522,-8.7188,Limerick,2003,31,Theft
Crosshaven,51.803999999999995,-8.3045,Cork City,2003,25,Theft
Crossmolina,54.0998,-9.3227,Mayo,2003,11,Theft
Crumlin,53.3196,-6.315,D.M.R. Southern,2003,533,Theft
Crusheen,52.9385,-8.8986,Clare,2003,8,Theft
Daingean,53.293,-7.2936,Laois/Offaly,2003,18,Theft
Delvin,53.6145,-7.0901,Westmeath,2003,19,Theft
Dingle,52.1392,-10.2705,Kerry,2003,12,Theft
Dolla,52.7971,-8.1921,Tipperary,2003,1,Theft
Donegal Town,54.6524,-8.1111,Donegal,2003,74,Theft
Doneraile,52.2157,-8.5854,Cork North,2003,18,Theft
Donnybrook,53.3217,-6.2359,D.M.R. South Central,2003,905,Theft
Douglas,51.8751,-8.431000000000001,Cork City,2003,238,Theft
Dowra,54.1904,-8.0153,Cavan/Monaghan,2003,10,Theft
Drimoleague,51.659,-9.264,Cork West,2003,12,Theft
Drinagh,51.6477,-9.1545,Cork West,2003,1,Theft
Drogheda,53.7151,-6.3566,Louth,2003,523,Theft
Drumad,54.0957,-6.3608,Louth,2003,76,Theft
Drumcollogher,52.3382,-8.9113,Limerick,2003,13,Theft
Drumlish,53.8217,-7.7659,Roscommon/Longford,2003,6,Theft
Drumshambo,54.0465,-8.04,Sligo/Leitrim,2003,26,Theft
Dublin Airport,53.4299,-6.2455,D.M.R. Northern,2003,284,Theft
Duleek,53.6539,-6.4181,Meath,2003,37,Theft
Dun Fionnachaid,55.1829,-7.9744,Donegal,2003,23,Theft
Dun Laoghaire,53.2899,-6.1333,D.M.R. Eastern,2003,1070,Theft
Dunboyne,53.4211,-6.4771,Meath,2003,116,Theft
Duncannon,52.2214,-6.9298,Wexford,2003,21,Theft
Dundalk,53.9995,-6.4097,Louth,2003,917,Theft
Dundrum,53.2895,-6.2426,D.M.R. Eastern,2003,745,Theft
Dungarvan,52.0877,-7.6245,Waterford,2003,234,Theft
Dunlavin,53.0588,-6.7011,Wicklow,2003,28,Theft
Dunleer,53.8285,-6.3946,Louth,2003,40,Theft
Dunmanway,51.7228,-9.1101,Cork West,2003,16,Theft
Dunmore East,52.1484,-6.9929,Waterford,2003,17,Theft
