Station,Lat,Lon,Year,Thefts
Callan,52.5424,-7.391,2003,15
Campile,52.2878,-6.9396,2003,15
Cappamore,52.6147,-8.3385,2003,18
Cappawhite,52.5832,-8.1648,2003,25
Cappoquin,52.1459,-7.8457,2003,18
Carbury,53.3385,-6.9367,2003,23
Carlingford,54.0412,-6.1872,2003,51
Carlow,52.8405,-6.9293,2003,453
Carna,53.3236,-9.8241,2003,6
Carndonagh,55.2535,-7.2595,2003,22
Carnew,52.7105,-6.4918,2003,27
Carraig Airt,55.1751,-7.7985,2003,8
Carrickbyrne,52.3624,-6.7597,2003,11
Carrickmacross,53.9761,-6.7188,2003,110
Carrick-on-Bannow,52.2381,-6.734,2003,19
Carrick-On-Shannon,53.9443,-8.0902,2003,63
Carrick-On-Suir,52.3482,-7.4099,2003,49
Carrigaline,51.8148,-8.3915,2003,63
Carrigallen,53.9756,-7.6467,2003,1
Carrigans,54.9512,-7.4268,2003,30
Carrigtwohill,51.9095,-8.2618,2003,29
Cashel,52.5163,-7.8903,2003,38
Castlebar,53.8534,-9.2976,2003,387
Castlebellingham,53.8993,-6.3899,2003,41
Castleblayney,54.1179,-6.735,2003,101
Castlebridge,52.3847,-6.4526,2003,11
Castlecomer,52.7993,-7.2095,2003,24
Castleconnell,52.7134,-8.4985,2003,96
Castledermot,52.9092,-6.8492,2003,37
Castlefin,54.8027,-7.5952,2003,31
Castlegregory,52.2542,-10.0206,2003,10
Castleisland,52.2304,-9.4628,2003,60
Castlemaine,52.1702,-9.7006,2003,10
Castlepollard,53.6785,-7.2966,2003,22
Castlerea,53.7666,-8.4841,2003,43
Castletownbere,51.6495,-9.9147,2003,19
Castletownroche,52.1707,-8.468,2003,12
Cavan,53.9933,-7.3609,2003,222
Celbridge,53.343999999999994,-6.5417,2003,223
Charlestown,53.9627,-8.7935,2003,28
Charleville,52.3561,-8.6826,2003,56
Cill Ronain,53.1213,-9.6678,2003,5
Clane,53.2937,-6.6859,2003,85
Clara,53.3454,-7.6141,2003,57
Claremorris,53.7236,-8.9851,2003,91
Clifden,53.4882,-10.0092,2003,50
Cloch na Ron,53.3936,-9.9211,2003,3
Cloghan,53.2248,-7.8775,2003,12
Clogheen,52.2769,-7.9953,2003,15
Clogher,54.8368,-8.4275,2003,3
Clogherhead,53.7904,-6.2427,2003,33
Clonakilty,51.6249,-8.8889,2003,76
Clonark,53.3684,-8.0347,2003,13
Clonaslee,53.1486,-7.526,2003,5
Clonbologue,53.2591,-7.0858,2003,8
Clondalkin,53.3231,-6.395,2003,846
Clones,54.1775,-7.2282,2003,58
Clonmany,55.263000000000005,-7.4128,2003,7
Clonmel,52.3541,-7.6999,2003,211
Clonroche,52.4504,-6.7159,2003,31
Clontarf,53.3635,-6.2201,2003,766
Cloughjordan,52.942,-8.0397,2003,8
Cloyne,51.8628,-8.1235,2003,6
Coachford,51.9091,-8.7911,2003,10
Cobh,51.8482,-8.3036,2003,110
Collon,53.7779,-6.4849,2003,9
Collooney,54.1855,-8.4879,2003,35
Cong,53.5415,-9.2865,2003,27
Convoy,54.8593,-7.669,2003,21
Coolaney,54.1724,-8.6034,2003,8
Coolock,53.3903,-6.2011,2003,983
Cootehill,54.0747,-7.0787,2003,53
Corofin,52.9475,-9.0686,2003,15
Corofin,53.4376,-8.8631,2003,4
Courtown Harbour,52.6443,-6.2305,2003,34
Craughwell,53.2294,-8.7339,2003,27
Creggs,53.5949,-8.3638,2003,3
Crookstown,51.8587,-8.8013,2003,15
Croom,52.522,-8.7188,2003,31
Crosshaven,51.803999999999995,-8.3045,2003,25
Crossmolina,54.0998,-9.3227,2003,11
Crumlin,53.3196,-6.315,2003,533
Crusheen,52.9385,-8.8986,2003,8
Daingean,53.293,-7.2936,2003,18
Delvin,53.6145,-7.0901,2003,19
Dingle,52.1392,-10.2705,2003,12
Dolla,52.7971,-8.1921,2003,1
Donegal Town,54.6524,-8.1111,2003,74
Doneraile,52.2157,-8.5854,2003,18
Donnybrook,53.3217,-6.2359,2003,905
Douglas,51.8751,-8.431000000000001,2003,238
Dowra,54.1904,-8.0153,2003,10
Drimoleague,51.659,-9.264,2003,12
Drinagh,51.6477,-9.1545,2003,1
Drogheda,53.7151,-6.3566,2003,523
Drumad,54.0957,-6.3608,2003,76
Drumcollogher,52.3382,-8.9113,2003,13
Drumlish,53.8217,-7.7659,2003,6
Drumshambo,54.0465,-8.04,2003,26
Dublin Airport,53.4299,-6.2455,2003,284
Duleek,53.6539,-6.4181,2003,37
Dun Fionnachaid,55.1829,-7.9744,2003,23
Dun Laoghaire,53.2899,-6.1333,2003,1070
Dunboyne,53.4211,-6.4771,2003,116
Duncannon,52.2214,-6.9298,2003,21
Dundalk,53.9995,-6.4097,2003,917
Dundrum,53.2895,-6.2426,2003,745
Dungarvan,52.0877,-7.6245,2003,234
Dunlavin,53.0588,-6.7011,2003,28
Dunleer,53.8285,-6.3946,2003,40
Dunmanway,51.7228,-9.1101,2003,16
Dunmore East,52.1484,-6.9929,2003,17
Dunmore,53.6176,-8.7406,2003,8
Dunshaughlin,53.5108,-6.5393,2003,73
Durrow,52.8443,-7.3961,2003,18
Durrus,51.6205,-9.524,2003,3
Edenderry,53.3368,-7.0608,2003,70
Edgeworthstown,53.6956,-7.606,2003,48
Elphin,53.8458,-8.1925,2003,5
Emly,52.4651,-8.3542,2003,4
Emyvale,54.3394,-6.9576,2003,50
Enfield,53.4151,-6.8339,2003,47
Ennis,52.8469,-8.9811,2003,470
Enniscorthy,52.5007,-6.5707,2003,177
Enniscrone,54.2138,-9.0885,2003,23
Enniskerry,53.1913,-6.1695,2003,82
Ennistymon,52.9374,-9.2885,2003,71
Eyrecourt,53.1994,-8.1324,2003,1
Farranfore,52.1714,-9.5497,2003,11
Ferbane,53.2708,-7.8276,2003,34
Fermoy,52.1385,-8.2742,2003,101
Ferns,52.591,-6.4978,2003,17
Ferrybank,52.2675,-7.1011,2003,34
Fethard,52.4664,-7.6944,2003,22
Finglas,53.3896,-6.3068,2003,706
Fitzgibbon Street,53.3577,-6.2554,2003,1037
Foxford,53.9833,-9.1084,2003,16
Foynes,52.6097,-9.1037,2003,15
Frenchpark,53.8692,-8.4056,2003,12
Freshford,52.7324,-7.3944,2003,4
Gaillimh,53.2713,-9.0583,2003,1388
Garristown,53.5671,-6.3839,2003,18
Glanmire,51.9184,-8.3968,2003,127
Glantaine,52.1047,-8.7488,2003,10
Glasson,53.4717,-7.8635,2003,30
Gleann na Muaidhe,54.2408,-9.6788,2003,4
Glenamaddy,53.6074,-8.5602,2003,8
Glenbeigh,52.0571,-9.9371,2003,3
Glengarriff,51.7506,-9.5507,2003,14
Glenmore,52.3538,-7.028,2003,3
Glin,52.5696,-9.2845,2003,3
Glynn,52.3728,-6.5829,2003,6
Gob an Choire,53.9337,-9.9185,2003,4
Golden,52.4968,-7.9847,2003,10
Goresbridge,52.63,-6.9944,2003,8
Gorey,52.675,-6.2973,2003,147
Gort,53.0674,-8.8182,2003,53
Graiguenamanagh,52.5425,-6.9568,2003,30
Granard,53.7786,-7.4942,2003,54
Grange,54.3934,-8.5207,2003,27
Greystones,53.148,-6.0632,2003,246
Gurranabraher,51.9034,-8.4966,2003,255
Gurteen,53.993,-8.5158,2003,7
Hackballscross,54.0316,-6.5242,2003,15
Hacketstown,52.8643,-6.557,2003,9
Headford,53.4703,-9.0983,2003,11
Henry Street,52.6617,-8.6316,2003,1750
Holycross,52.6426,-7.8729,2003,6
Hospital Co Limerick,52.4752,-8.4325,2003,10
Howth,53.3873,-6.069,2003,351
Indreabhan,53.2406,-9.4296,2003,10
Innishannon,51.7644,-8.6554,2003,12
Irishtown,53.3382,-6.2233,2003,591
Kanturk,52.1759,-8.9126,2003,37
Keadue,54.0506,-8.1373,2003,5
Kealkil,51.755,-9.3753,2003,4
Keel,53.9754,-10.0822,2003,5
Kells Ceanannus Mor,53.7284,-6.8812,2003,99
Kenagh,53.622,-7.8151,2003,5
Kenmare,51.8785,-9.5816,2003,21
Kerrykeel,55.1371,-7.6663,2003,13
