HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Adult_weight_grams,Maximum_longevity_yrs,Specimen_origin,Sample_size,Data_quality,Metabolic_rate_W
1692,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou and reindeer,101250,21.8,captivity,large,high,119.66
1780,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,leo,Lion,175000,27,captivity,large,high,94.58
1362,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,camelus,Ostrich,111000,50,captivity,large,acceptable,69.6339
1608,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Waterbuck,175333,30,captivity,large,high,148.949
1660,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,glama,Llama,140000,28.9,captivity,large,high,148.94
1713,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,scrofa,Wild boar,130000,27,captivity,large,high,104.15
1783,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,tigris,Tiger,119700,26.3,captivity,large,high,133.859
1650,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,oryx,Eland,500000,26.1,captivity,large,high,190.209
2840,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,inunguis,Amazonian manatee,480000,40,captivity,small,acceptable,55.015
2271,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,asinus,African wild ass,164998,47,captivity,large,high,164.92
1591,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,Blue wildebeest,164500,24.3,captivity,large,high,230.073
1564,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,taurus,Domestic cattle,750000,20,captivity,large,questionable,306.77
1659,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,dromedarius,Dromedary,434000,28.4,captivity,medium,acceptable,224.779
2841,Animalia,Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,West Indian manatee,322000,69,captivity,medium,acceptable,70.0056
2473,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,maximus,Asiatic elephant,3178000,65.5,captivity,large,acceptable,2336.5
