HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Adult_weight_grams,Maximum_longevity_yrs,Specimen_origin,Sample_size,Data_quality,Metabolic_rate_W
2056,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,vivesi,Fish-eating bat,25,10,unknown,medium,acceptable,0.199
2089,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Brown antechinus,27.5,5.4,captivity,small,acceptable,0.189
2522,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,agrestis,Field vole,46,4.8,captivity,small,acceptable,0.367
1262,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus,Budgerigar,30,21,captivity,large,high,0.3035
639,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Lullula,arborea,Wood lark,26.9,6,wild,medium,acceptable,0.572
2083,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinomys,laniger,Kultarr,24,3.5,captivity,small,acceptable,0.141
637,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,alpestris,Horned lark,33.5,8,wild,medium,acceptable,0.3133
741,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,leucophrys,White-crowned sparrow,25.82,13.3,wild,large,acceptable,0.336
2594,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Zapus,hudsonius,Meadow jumping mouse,18,5.6,captivity,small,acceptable,0.219
715,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,citrinella,Yellowhammer,29.7,13.2,wild,medium,acceptable,0.436
716,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,hortulana,Ortolan bunting,19.9,6.8,wild,medium,acceptable,0.407
820,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,collurio,Red-backed shrike,28.4,10.1,wild,medium,acceptable,0.383
758,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,cassinii,Cassin's finch,27.5,7,wild,medium,acceptable,0.339
992,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,mexicana,Western bluebird,26.5,8.7,wild,medium,acceptable,0.423
2655,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,flavicollis,Yellow-necked mouse,29.4,4.5,captivity,small,acceptable,0.365
1989,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Desmodus,rotundus,Vampire bat,33.2,29.2,captivity,medium,acceptable,0.194
2669,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,gerbillus,Lesser Egyptian gerbil,30,5.9,captivity,small,acceptable,0.237
2670,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,nanus,Baluchistan gerbil,18.5,4.5,captivity,small,questionable,0.129
770,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,leucoptera,White-winged crossbill,28.9,4,captivity,small,questionable,0.46992
3194,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eumeces,obsoletus,Great Plains skink,30,7.3,captivity,small,acceptable,0.0206
2559,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Podomys,floridanus,Florida mouse,32,7.4,captivity,small,acceptable,0.288
2557,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,sungorus,Dzhungarian hamster,23.4,3.9,captivity,medium,acceptable,0.313
2922,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,multicarinata,Southern alligator lizard,31.5,9.8,captivity,small,acceptable,0.0132
636,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,arvensis,Eurasian skylark,37.5,10.1,wild,medium,acceptable,0.722
2699,Animalia,Chordata,Mammalia,Rodentia,Muridae,Notomys,alexis,Spinifex hopping mouse,35,6.4,captivity,medium,acceptable,0.252
2553,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,truei,Pinyon mouse,25,5.4,captivity,small,acceptable,0.307
2846,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,flavescens,Greater red musk shrew,45,2.2,captivity,small,acceptable,0.248
742,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,querula,Harris's sparrow,33.1,11.7,wild,medium,acceptable,0.4552
1995,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,discolor,Pale spear-nosed bat,43.4,9,wild,medium,acceptable,0.267
1018,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,crinitus,Great crested flycatcher,32.1,14.9,wild,small,acceptable,0.384
523,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo,atthis,Common kingfisher,31.4,21,wild,medium,acceptable,0.378
2483,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus,glaber,Naked mole-rat,35,31,captivity,large,high,0.128
1024,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Eastern kingbird,39.9,11.1,wild,small,acceptable,0.4372
370,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,dubius,Little ringed plover,38.7,13,wild,medium,acceptable,0.416
1999,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Cynopterus,brachyotis,Lesser short-nosed fruit bat,45,10.1,captivity,medium,acceptable,0.262
807,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,galbula,Baltimore oriole,32.9,14,unknown,medium,acceptable,0.5052
2627,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,merriami,Merriam's kangaroo rat,42,9.7,captivity,medium,acceptable,0.246
2618,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Graphiurus,murinus,Woodland dormouse,24,6.9,captivity,medium,acceptable,0.225
2252,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Macroscelides,proboscideus,Short-eared elephant shrew,40,8.7,captivity,medium,acceptable,0.292
769,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,curvirostra,Red crossbill,39.5,16.1,wild,small,acceptable,0.607
2719,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rhabdomys,pumilio,Four-striped grass mouse,51,4.5,captivity,medium,acceptable,0.179
2868,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Suncus,murinus,Asian house shrew,45.9,3.2,captivity,small,acceptable,0.403
2517,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lasiopodomys,brandtii,Brandt's vole,40,4.1,captivity,small,acceptable,0.428
646,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis,cardinalis,Northern cardinal,42.6,28.5,unknown,medium,acceptable,0.5163
2648,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,cahirinus,Spiny mouse,45.2,5.9,captivity,large,high,0.258
813,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,ater,Brown-headed cowbird,38.1,16.9,wild,medium,acceptable,0.6315
2108,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Pseudantechinus,macdonnellensis,Fat-tailed marsupial mouse,32.5,7,captivity,small,acceptable,0.152
726,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,fusca,Canyon towhee,44.4,12.8,wild,small,acceptable,0.670615
2525,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,guentheri,Vole,51.6,3.9,captivity,small,acceptable,0.447
1546,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,talazaci,Talazac's shrew tenrec,50,5.8,captivity,small,acceptable,0.243
2144,Animalia,Chordata,Mammalia,Diprotodontia,Burramyidae,Burramys,parvus,Mountain pygmy possum,45,12,unknown,medium,acceptable,0.205
1545,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,Dobson's shrew tenrec,37.8,5.6,captivity,small,acceptable,0.315
318,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,Common swift,37.6,21.1,wild,medium,acceptable,0.4372
1351,Animalia,Chordata,Aves,Strigiformes,Strigidae,Micrathene,whitneyi,Elf owl,41,14,captivity,small,acceptable,0.259435
1986,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Jamaican fruit-eating bat,42.2,19.2,captivity,large,acceptable,0.359
2086,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,flavipes,Yellow-footed antechinus,45,3.9,captivity,small,acceptable,0.252
2249,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,intufi,Long-eared elephant shrew,52,9.3,captivity,small,acceptable,0.29
724,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,aberti,Abert's towhee,46,8.6,wild,medium,acceptable,0.73425
2546,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,californicus,California mouse,42,5.5,captivity,small,acceptable,0.267
2629,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,ordii,Ord's kangaroo rat,57,9.9,captivity,small,acceptable,0.339
2527,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,ochrogaster,Prairie vole,40,5.3,captivity,small,acceptable,0.41
2250,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,rozeti,North African elephant shrew,48,7.2,captivity,small,acceptable,0.288
2869,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Condylura,cristata,Star-nosed mole,55.3,2.5,captivity,small,acceptable,0.615
2813,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,minimus,Least chipmunk,44.1,10,captivity,small,acceptable,0.349
88,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,54.4,16,captivity,medium,acceptable,0.0134
2251,Animalia,Chordata,Mammalia,Macroscelidea,Macroscelididae,Elephantulus,rufescens,Rufous elephant shrew,58,7.9,captivity,small,acceptable,0.317
762,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Hesperiphona,vespertina,Evening grosbeak,54.9,17,unknown,medium,acceptable,0.7294
2671,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,perpallidus,Pale gerbil,50,5.5,captivity,medium,acceptable,0.261
2511,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Collared lemming,66,3.3,unknown,medium,acceptable,0.459
995,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,iliacus,Redwing,61.2,18.8,wild,medium,acceptable,0.722
1984,Animalia,Chordata,Mammalia,Chiroptera,Noctilionidae,Noctilio,leporinus,Greater bulldog bat,50,11.8,captivity,medium,acceptable,0.4
2418,Animalia,Chordata,Mammalia,Primates,Galagidae,Galagoides,demidoff,Demidoff's galago,60,13.4,captivity,small,acceptable,0.372
2690,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micaelamys,namaquensis,Rock mouse,47.6,4.7,captivity,small,acceptable,0.292
998,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,philomelos,Song thrush,67.8,17.7,wild,medium,acceptable,0.726
2763,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funisciurus,anerythrus,Thomas's rope squirrel,218,10,captivity,small,acceptable,0.58
2626,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,heermanni,Heermann's kangaroo rat,65,8.3,captivity,small,acceptable,0.408
85,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,130,30.3,captivity,large,acceptable,0.012
2721,Animalia,Chordata,Mammalia,Rodentia,Muridae,Sekeetamys,calurus,Bushy-tailed jird,65,7.3,captivity,medium,acceptable,0.274
2146,Animalia,Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,nanus,Eastern pygmy possum,40,10.3,captivity,small,acceptable,0.311
2686,Animalia,Chordata,Mammalia,Rodentia,Muridae,Meriones,unguiculatus,Mongolian jird,53.2,6.3,captivity,medium,acceptable,0.546
2090,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,swainsonii,Dusky antechinus,41,3.3,captivity,small,acceptable,0.351
2768,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,volans,Southern flying squirrel,65.4,19,captivity,medium,acceptable,0.414
2738,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Saccostomus,campestris,Pouched mouse,47.4,4.5,captivity,small,acceptable,0.274
3141,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Dipsosaurus,dorsalis,Desert iguana,69.5,14.6,captivity,medium,acceptable,0.0441
2665,Animalia,Chordata,Mammalia,Rodentia,Muridae,Desmodillus,auricularis,Cape short-eared gerbil,54.5,6.1,captivity,small,acceptable,0.49
348,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common nighthawk,79.3,10,wild,small,acceptable,0.4421
821,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,excubitor,Northern shrike,63.5,12,unknown,medium,acceptable,0.8161
641,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,garrulus,Bohemian waxwing,54.5,13.5,wild,medium,acceptable,0.9566
1104,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,formicivorus,Acorn woodpecker,79.7,17.2,wild,medium,acceptable,0.737
965,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,European starling,74,22.9,wild,large,acceptable,0.877
2590,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus,jaculus,Lesser Egyptian jerboa,55,7.3,captivity,medium,acceptable,0.515
2715,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,fuscipes,Bush rat,130,5.3,captivity,small,acceptable,0.471
2560,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodon,auritus,Bunny or coney rat,72.2,5.5,captivity,small,acceptable,0.428
2479,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,hottentotus,African mole rat,132.5,11,captivity,small,questionable,0.35
2518,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Lemmus,lemmus,Norway lemming,70,3.3,captivity,small,acceptable,1.071
1263,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,monachus,Monk parakeet,81.7,22.1,captivity,large,acceptable,0.5189
1996,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,hastatus,Greater spear-nosed bat,81,18,wild,medium,acceptable,0.559
2723,Animalia,Chordata,Mammalia,Rodentia,Muridae,Tatera,indica,Indian gerbil,146.7,7,captivity,small,acceptable,0.422
1140,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria,bulwerii,Bulwer's petrel,99,22.9,wild,small,acceptable,0.513975
2818,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,striatus,Eastern chipmunk,96,9.5,captivity,small,acceptable,0.813
439,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,interpres,Ruddy turnstone,136,22.3,wild,medium,acceptable,0.92
2091,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasycercus,cristicauda,Mulgara,115,7.4,captivity,small,acceptable,0.26
2138,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,brevicaudata,Short bare-tailed opossum,90,3.9,captivity,tiny,acceptable,0.366
2737,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Mystromys,albicaudatus,White-tailed mouse,106,6.3,captivity,small,acceptable,0.707
2747,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,leucurus,White-tailed antelope squirrel,105,11.2,captivity,small,acceptable,0.511
3006,Animalia,Chordata,Reptilia,Squamata,Colubridae,Natrix,natrix,Grass snake,96.25,20,captivity,medium,acceptable,0.0295
2507,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,amphibius,European water vole,120,2.5,captivity,tiny,acceptable,0.613
575,Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,coturnix,Common quail,96.5,14.6,wild,medium,acceptable,0.891
393,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gygis,alba,Fairy tern,98.1,35.9,wild,medium,acceptable,0.82236
2093,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,Kowari,105,8,captivity,small,acceptable,0.439
2139,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,domestica,Gray short-tailed opossum,105,5.1,captivity,medium,acceptable,0.335
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,106.25,24.8,captivity,large,acceptable,0.0303
2625,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,deserti,Desert kangaroo rat,116,8.6,captivity,small,acceptable,0.517
2667,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbilliscus,afra,Cape gerbil,74.8,5.7,captivity,small,acceptable,1.016
2520,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,auratus,Golden hamster,105,3.9,captivity,medium,acceptable,0.69
2672,Animalia,Chordata,Mammalia,Rodentia,Muridae,Gerbillus,pyramidum,Greater Egyptian gerbil,37,8.2,captivity,small,acceptable,0.454
2245,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,princeps,American pika,100,7,captivity,small,acceptable,0.932
2716,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,lutreolus,Australian swamp rat,115,4.4,captivity,small,acceptable,0.353
961,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,cristatellus,Crested myna,116.5,13,captivity,small,acceptable,1.2092
2321,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Cebuella,pygmaea,Pygmy marmoset,124,18.6,captivity,large,high,0.599
538,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,canorus,Common cuckoo and Eurasian cuckoo,111.5,12.9,wild,medium,acceptable,0.838
2539,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,lepida,Desert woodrat,236,10.5,captivity,small,acceptable,0.46
2470,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Carlito,syrichta,Philippine tarsier,119.2,16,captivity,tiny,acceptable,0.43
1542,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,Lesser hedgehog tenrec,180,19,captivity,medium,acceptable,0.75
1544,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,Streaked tenrec,180,2.7,captivity,small,questionable,0.38
2718,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,rattus,Rat,200,4.2,captivity,large,acceptable,0.77
2134,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Marmosa,robinsoni,Robinson's mouse opossum,75,5,captivity,small,acceptable,0.547
522,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,macroura,Mourning dove,119,31.3,wild,large,acceptable,0.736
2835,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,glis,Common tree shrew,200,12.4,captivity,medium,acceptable,0.522
1339,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,acadicus,Northern saw-whet owl,117.9,17.5,unknown,medium,acceptable,0.654
2825,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerospermophilus,tereticaudus,Round-tailed ground squirrel,163.3,8.9,captivity,tiny,acceptable,0.501
1846,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,Ermine,110.3,12.5,captivity,small,acceptable,1.276
1976,Animalia,Chordata,Mammalia,Chiroptera,Megadermatidae,Macroderma,gigas,Australian false vampire bat,150,22.6,captivity,small,acceptable,0.639
567,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,gambelii,Gambel's quail,166,7.4,wild,medium,acceptable,0.755
2742,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Spalacopus,cyanus,Coruro,98,10.8,captivity,small,acceptable,0.561
2189,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,breviceps,Sugar glider,110,17.8,captivity,large,high,0.517
512,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,White-tipped dove,147.5,8.6,wild,small,acceptable,0.8884
2478,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Cryptomys,damarensis,Damaraland mole-rat,180,15.5,captivity,medium,acceptable,0.418
2830,Animalia,Chordata,Mammalia,Rodentia,Spalacidae,Spalax,ehrenbergi,Palestine mole rat,160,20.2,captivity,small,acceptable,0.585
192,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,nisus,Eurasian sparrowhawk,237.5,20.2,wild,medium,acceptable,0.9516
1203,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Barnardius,zonarius,Port Lincoln ringneck,150,17.9,captivity,small,acceptable,0.718
388,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,stolidus,Noddy tern,178,26.2,wild,medium,acceptable,0.788095
2591,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus,orientalis,Greater Egyptian jerboa,134,5.5,captivity,small,acceptable,0.775
2610,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,bottae,Botta's pocket gopher,115.5,6.1,captivity,small,acceptable,0.67
2022,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Rousettus,aegyptiacus,Egyptian rousette,125,22.9,wild,large,acceptable,0.684
689,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,caryocatactes,Spotted nutcracker,183,16.2,wild,medium,acceptable,1.346
694,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,nuttalli,Yellow-billed magpie,159,10,wild,medium,questionable,1.471
687,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,glandarius,Eurasian jay,159.7,17.9,wild,medium,acceptable,1.39997
2102,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,Brush-tailed phascogale,193.5,5.9,captivity,small,acceptable,0.694
519,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,turtur,European turtle-dove,132,13.2,wild,medium,acceptable,1.138
470,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,minor,American woodcock,197.5,20.9,wild,large,acceptable,1.066
693,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,hudsonia,Black-billed magpie,177,20,captivity,medium,acceptable,1.196
2565,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,hispidus,Hispid cotton rat,185,5.2,captivity,medium,acceptable,1.085
1349,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,asio,Eastern screech-owl,164.1,20.7,unknown,medium,acceptable,0.586
2187,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,leadbeateri,Leadbeater's possum,127,14.1,captivity,tiny,acceptable,0.574
2416,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,moholi,South African galago,169.2,16.6,captivity,medium,acceptable,0.285
2417,Animalia,Chordata,Mammalia,Primates,Galagidae,Galago,senegalensis,Senegal galago,192.2,17.1,captivity,medium,acceptable,0.764
2617,Animalia,Chordata,Mammalia,Rodentia,Gliridae,Glis,glis,Fat dormouse,125,8.7,captivity,small,acceptable,0.664
2536,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,albigula,White-throated woodrat,209,9.5,captivity,small,acceptable,0.735
2318,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,jacchus,White-tufted-ear marmoset,255.2,22.8,captivity,large,high,0.848
2481,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Georychus,capensis,Cape mole-rat,181,11.2,captivity,tiny,questionable,0.637
2017,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,pumilus,Little golden-mantled flying fox,200,17.2,captivity,medium,acceptable,0.705
2608,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Geomys,bursarius,Plains pocket gopher,176.7,12,captivity,small,acceptable,0.769
2770,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys,tridecemlineatus,Thirteen-lined ground squirrel,172.7,7.9,captivity,small,acceptable,0.983
119,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,200.967,27,captivity,small,acceptable,0.00904
2740,Animalia,Chordata,Mammalia,Rodentia,Octodontidae,Octodon,degus,Degu,235,14,captivity,large,acceptable,0.958
2454,Animalia,Chordata,Mammalia,Primates,Lorisidae,Arctocebus,calabarensis,Calabar angwantibo,257.5,13,captivity,small,acceptable,0.731
2717,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,norvegicus,Norway rat,300,3.8,captivity,large,acceptable,1.404
556,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,subbuteo,Eurasian hobby,209.5,14.9,wild,medium,acceptable,1.3014
2662,Animalia,Chordata,Mammalia,Rodentia,Muridae,Conilurus,penicillatus,Brush-tailed rabbit rat,144,4.5,captivity,small,acceptable,0.908
2820,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Red squirrel,200,9.8,captivity,tiny,acceptable,1.615
1848,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,frenata,Long-tailed weasel,150.6,8.8,captivity,tiny,acceptable,1.344
2330,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,geoffroyi,Geoffroy's tamarin,499.3,20.5,captivity,medium,acceptable,1.305
2769,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Heliosciurus,rufobrachium,Red-legged sun squirrel,326.5,8.7,captivity,small,acceptable,0.744
2806,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Spermophilus,citellus,European ground squirrel,217,6.7,captivity,medium,acceptable,1.272
2824,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Xerospermophilus,mohavensis,Mohave ground squirrel,150,7.8,captivity,small,acceptable,0.629
3345,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,scripta,Common slider,240,41.3,captivity,large,acceptable,0.1157
2756,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis,Golden-mantled ground squirrel,157.6,10.4,captivity,small,acceptable,0.967
257,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,343.8,27.1,wild,medium,acceptable,1.68388
1342,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,otus,Long-eared owl,249.7,27.8,wild,small,acceptable,0.954
2018,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,rodricensis,Rodriguez flying fox,350,28,captivity,large,acceptable,0.753
2838,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Urogale,everetti,Mindanao tree shrew,350,11.5,captivity,small,acceptable,1.25
1241,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eolophus,roseicapilla,Galah,300,40,captivity,large,acceptable,1.248
2455,Animalia,Chordata,Mammalia,Primates,Lorisidae,Loris,tardigradus,Slender loris,238.2,21.6,captivity,small,acceptable,0.714
539,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,californianus,Greater roadrunner,376,9,captivity,medium,acceptable,1.4661
2409,Animalia,Chordata,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,medius,Fat-tailed dwarf lemur,380,29,captivity,medium,acceptable,1.088
2001,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Dobsonia,moluccensis,Moluccan naked-backed fruit bat,430,12.3,captivity,small,acceptable,1.411
2496,Animalia,Chordata,Mammalia,Rodentia,Caviidae,Galea,musteloides,Common yellow-toothed cavy,337.9,3.5,captivity,small,acceptable,1.473
