Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,Male,Female,Total,Sex,xcoord,ycoord,Long,Lat
18626S,S N AN GLEANN DUIBH,KILTOOM,ATHLONE,CO WESTMEATH,,Roscommon,CATHOLIC,N,N,N,54,51,105,Mixed,197773,252036,-8.03358,53.5183
19826I,ST BRENDANS NS,CARTRON,SLIGO TOWN,CO SLIGO,,Sligo,CATHOLIC,N,N,N,54,51,105,Mixed,168530,337025,-8.48321,54.281
09190G,BOHER N S,BOHER,KILLALOE,CO CLARE,,Tipperary,CATHOLIC,N,N,N,62,43,105,Mixed,175252,172362,-8.36698,52.8017
18108T,WHITECHURCH N S CEAPACH,CEAPACH,CO WATERFORD,,,Waterford,CATHOLIC,N,N,N,56,49,105,Mixed,215241,94516,-7.77755,52.1025
15291V,STREAMSTOWN MIXED N S,STREAMSTOWN,CO WESTMEATH,,,Westmeath,CATHOLIC,N,N,N,54,51,105,Mixed,229297,242237,-7.55919,53.4294
13203L,ST PATRICKS MXD N S,GOWNA,CO CAVAN,,,Cavan,CATHOLIC,N,N,N,56,48,104,Mixed,230665,291702,-7.53374,53.8738
13826B,KILMIHIL N.S.,KILMIHIL,ENNIS,CO CLARE,,Clare,CATHOLIC,N,N,N,54,50,104,Mixed,110920,164290,-9.31855,52.7224
13870E,KILKISHEN N S,SN MUIRE NA D CHOMHAIRL,CILL  CHISIN,ENNIS,CO CLARE,Clare,CATHOLIC,N,N,N,44,60,104,Mixed,149964,172877,-8.74201,52.8046
18639E,S N BAILE NA CAILLI,ENNIS,CO CLARE,,,Clare,CATHOLIC,N,N,N,45,59,104,Mixed,128064,163581,-9.06469,52.7186
15071H,S N CILLINI DIOMA,LOUGHREA,CO GALWAY,,,Galway,CATHOLIC,N,N,N,45,59,104,Mixed,162354,212699,-8.56292,53.1635
17221K,SN COLMCILLE,AN CAISLEAN AN GEARR,GAILLIMH,,,Galway,CATHOLIC,N,Y,Y,51,53,104,Mixed,132116,228370,-9.01834,53.3013
17877P,SCOIL MUIRE NAOFA,MIONLOCH,BEAL ATHA NA SLUA,CO NA GAILLIMHE,,Galway,CATHOLIC,N,N,N,51,53,104,Mixed,162202,241335,-8.5686,53.4208
00892Q,SHANGANAMORE N S,SHANGANAMORE,ATHY,CO LAOIS,,Laois,CATHOLIC,N,N,N,52,52,104,Mixed,267691,189623,-6.99273,52.9532
07442U,St Josephs National School,BORRIS IN OSSORY,PORTLAOISE,CO LAOIS,,Laois,CATHOLIC,N,N,N,59,45,104,Mixed,224647,187518,-7.63338,52.938
17155A,ATHLACCA N S,ATHLACCA,KILMALLOCK,CO LIMERICK,,Limerick,CATHOLIC,N,N,N,51,53,104,Mixed,156091,134100,-8.64601,52.4567
18530F,ASKEATON SENIOR NS,ASKEATON,CO LIMERICK,,,Limerick,CATHOLIC,N,N,N,57,47,104,Mixed,133542,150312,-8.98095,52.6001
19247P,S N AN TSLANAITHEORA C,ARD EASMUINN,DUN DEALGAN,CO LOUTH,,Louth,CATHOLIC,N,Y,N,2,102,104,Mixed,303867,307545,-6.41561,54.0066
20171P,ARDEE EDUCATE TOGETHER N.S,DUNDALK ROAD,ARDEE,CO LOUTH,,Louth,MULTI DENOMINATIONAL,N,N,N,54,50,104,Mixed,296003,291357,-6.5406,53.8627
01421F,KILSKYRE MIXED N S,KILSKYRE,KELLS,CO MEATH,,Meath,CATHOLIC,N,N,N,55,49,104,Mixed,266367,272030,-6.99518,53.6937
17629T,S N PADRAIG NAOFA,ARD A'CHATHA,GARRISTOWN,CO DUBLIN,,Meath,CATHOLIC,N,N,N,58,46,104,Mixed,306590,263053,-6.38948,53.6065
17857J,S N AINDREIS NAOFA,CURRAHA,ASHBOURNE,CO MEATH,,Meath,CATHOLIC,N,N,N,40,64,104,Mixed,303270,255307,-6.44219,53.5375
